evidence_id,category,event_date,entity,metric,before,after,delta,evidence_quality,source_files,caveat
EV-32,indexing,2026-08-27,page: https://www.bookconv.com/blog/azw3-epub-mobi-kindle,publish->Bing discovery lag,published 2026-08-27,discovered 2026-08-27 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-33,indexing,2026-08-27,page: https://www.bookconv.com/blog/lit-format-conversion-and,publish->Bing discovery lag,published 2026-08-27,discovered 2026-08-27 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-34,indexing,2026-08-27,page: https://www.bookconv.com/blog/selection-intercept-converter,publish->Bing discovery lag,published 2026-08-27,discovered 2026-08-27 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-35,indexing,2026-08-28,page: https://www.bookconv.com/blog/layout-typesetting-pdf-epub,publish->Bing discovery lag,published 2026-08-27,discovered 2026-08-28 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-36,indexing,2026-08-28,page: https://www.bookconv.com/blog/sync-ebooks-reading-groups,publish->Bing discovery lag,published 2026-08-28,discovered 2026-08-28 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-37,google_search,2026-07-30,query: mobi to epub,GSC daily impressions (query x date),not present before 2026-07-30,total 72 impressions over 21 sampled days; peak 11 on 2026-08-13,,daily_series_2_api_snapshots,google/normalized_google_search.csv <- _gsc_query_daily_2026-09-03/04.json,GSC API sampling + only 2 pull snapshots; days without rows omitted
EV-38,google_search,2026-08-09,query: epub para doc,GSC daily impressions (query x date),not present before 2026-08-09,total 44 impressions over 23 sampled days; peak 3 on 2026-08-22,,daily_series_2_api_snapshots,google/normalized_google_search.csv <- _gsc_query_daily_2026-09-03/04.json,GSC API sampling + only 2 pull snapshots; days without rows omitted
EV-39,google_search,2026-08-05,query: ebook converter,GSC daily impressions (query x date),not present before 2026-08-05,total 39 impressions over 20 sampled days; peak 6 on 2026-08-26,,daily_series_2_api_snapshots,google/normalized_google_search.csv <- _gsc_query_daily_2026-09-03/04.json,GSC API sampling + only 2 pull snapshots; days without rows omitted
EV-40,google_search,2026-07-28,query: azw3 vs mobi,GSC daily impressions (query x date),not present before 2026-07-28,total 36 impressions over 14 sampled days; peak 7 on 2026-08-11,,daily_series_2_api_snapshots,google/normalized_google_search.csv <- _gsc_query_daily_2026-09-03/04.json,GSC API sampling + only 2 pull snapshots; days without rows omitted
EV-41,bing_search,2026-08-30->2026-09-07,Bing KeywordReport unique queries,unique query count in export,119 (2026-08-30),233 (2026-09-07),+114,snapshot_pair_3_exports,bing/normalized_bing_search.csv <- KeywordReport_2026_8_30/9_3/9_7.csv,cumulative window not stated in export
EV-42,google_genai,2026-09-05,page: https://www.bookconv.com/es/blog/azw3-vs-mobi,GSC Generative AI impressions (single export),no prior GenAI export exists,10 impressions,,single_point,google/normalized_google_search.csv <- Performance-on-Search-Generative-AI-Features-2026-09-05/网页.csv,single time point; no trend provable
EV-43,google_search,2026-08-10->2026-08-30,page: https://www.bookconv.com/,GSC UI export impressions (per-export lookback window),6 (2026-08-10),272 (2026-08-30),not computed (windows differ),two_point_window_mismatch,google/normalized_google_search.csv <- 网页.csv UI exports 08-10/08-11/08-13/08-30,each UI export covers its own lookback window; values NOT comparable as trend; API per-day rows excluded
EV-44,google_search,2026-08-10->2026-08-30,page: https://www.bookconv.com/convert/mobi-to-epub,GSC UI export impressions (per-export lookback window),70 (2026-08-10),311 (2026-08-30),not computed (windows differ),two_point_window_mismatch,google/normalized_google_search.csv <- 网页.csv UI exports 08-10/08-11/08-13/08-30,each UI export covers its own lookback window; values NOT comparable as trend; API per-day rows excluded
